Nordic_number,Stockout_start,Stockout_end
086733,2018-02-21,2018-04-17
086745,2018-01-01,2018-01-01
086745,2018-01-05,2018-01-29
086745,2018-02-02,2018-02-08
086745,2018-02-27,2018-05-09
086745,2018-05-15,2018-08-24
086756,2018-01-15,2018-01-15
086756,2018-01-17,2018-01-18
086756,2018-01-23,2018-03-23
086765,2019-05-20,2019-05-21
086765,2019-08-26,2019-10-04
086767,2018-01-04,2018-01-05
086767,2018-01-09,2018-01-26
086772,2019-02-19,2019-02-20
086778,2018-01-17,2018-01-29
086778,2018-02-02,2018-02-08
086778,2018-02-12,2018-03-09
086784,2020-08-24,2021-01-06
086823,2020-04-07,2021-01-06
086826,2019-10-16,2019-10-24
086914,2019-10-28,2019-11-01
086923,2019-12-02,2019-12-02
086923,2020-01-22,2020-03-06
086923,2020-07-14,2020-07-15
086928,2018-07-11,2018-12-14
086928,2020-03-23,2020-03-23
086928,2020-03-25,2020-03-25
086932,2018-10-22,2018-10-22
086932,2020-07-17,2020-07-17
086932,2020-08-28,2021-01-06
086936,2018-10-04,2019-02-11
086936,2020-10-02,2020-10-07
086936,2020-12-29,2021-01-05
086969,2020-12-17,2021-01-06
087008,2018-01-12,2018-01-12
087008,2018-08-03,2018-08-16
087008,2018-12-04,2018-12-04
087008,2019-01-24,2019-01-24
087008,2019-01-29,2019-01-29
087008,2019-02-06,2019-02-12
087008,2019-02-19,2019-03-08
087008,2019-04-03,2019-04-04
087008,2019-05-20,2019-06-18
087008,2019-07-02,2019-07-08
087008,2019-11-06,2019-11-07
087008,2019-11-12,2019-12-04
087008,2020-02-17,2020-04-27
087008,2020-05-06,2020-05-06
087009,2019-10-03,2019-10-03
087009,2019-12-30,2020-03-20
087009,2020-10-06,2020-10-06
087009,2020-12-18,2021-01-06
087091,2019-06-18,2019-06-18
087091,2019-12-23,2019-12-27
087091,2020-07-10,2020-07-10
087091,2020-10-06,2020-10-12
087202,2020-10-13,2020-10-16
087203,2019-10-09,2019-10-16
087203,2020-01-03,2020-01-06
087320,2020-10-02,2020-10-05
087320,2020-12-07,2020-12-07
087378,2020-04-03,2020-04-03
087379,2019-03-25,2019-04-01
087379,2019-04-09,2019-04-09
087379,2019-05-01,2019-05-03
087379,2019-05-29,2019-06-13
087379,2019-10-07,2019-12-27
087445,2019-06-06,2020-02-18
087445,2020-02-21,2020-08-20
087445,2020-08-31,2021-01-06
087449,2018-01-01,2018-05-18
087449,2018-11-05,2018-11-14
087449,2019-12-27,2019-12-27
087449,2020-01-27,2021-01-06
087456,2018-05-04,2018-05-30
087456,2019-12-13,2019-12-16
087456,2020-02-05,2020-02-06
087456,2020-02-19,2020-02-19
087456,2020-02-25,2020-02-27
087456,2020-03-05,2020-03-05
087456,2020-03-12,2020-03-12
087456,2020-03-19,2020-03-19
087456,2020-07-10,2020-07-10
087539,2019-08-27,2019-09-20
087539,2020-04-15,2020-04-24
087539,2020-07-14,2020-07-15
087539,2020-07-20,2020-07-20
087539,2020-07-23,2020-07-24
087539,2020-08-07,2020-08-07
087572,2019-05-27,2019-05-31
087572,2019-06-06,2019-06-14
087572,2019-10-18,2019-10-21
087572,2020-03-06,2020-03-06
087572,2020-03-17,2020-05-11
087572,2020-05-18,2020-05-18
087572,2020-06-08,2020-06-09
087572,2020-12-02,2020-12-03
087584,2020-11-17,2020-11-17
087584,2020-11-19,2020-11-19
087584,2020-11-24,2020-12-03
087584,2020-12-21,2021-01-06
087597,2018-12-10,2019-01-09
087597,2019-01-11,2019-01-15
087597,2019-01-17,2019-01-22
087597,2020-05-05,2020-05-11
087597,2020-05-13,2020-05-14
087597,2020-05-18,2020-05-18
087612,2018-03-02,2019-07-30
087612,2019-11-13,2020-04-23
087612,2020-05-20,2020-05-20
087612,2020-06-17,2020-06-19
087612,2020-06-23,2020-06-26
087612,2020-07-08,2020-07-14
087612,2020-08-13,2020-08-18
087612,2020-09-22,2020-09-22
087612,2020-09-24,2020-09-25
087612,2020-12-07,2020-12-07
087615,2019-07-09,2019-08-01
087651,2019-01-23,2019-01-23
087651,2019-06-11,2019-06-11
087651,2019-06-14,2019-06-14
087651,2020-02-21,2020-03-26
087651,2020-03-31,2020-04-15
087651,2020-06-01,2020-06-01
087651,2020-06-23,2020-07-13
087651,2020-07-22,2020-07-30
087651,2020-08-10,2020-08-12
087651,2020-09-07,2020-09-07
087651,2020-09-21,2021-01-06
087653,2018-06-11,2018-06-15
087653,2019-03-21,2019-03-22
087653,2019-03-26,2019-04-05
087653,2019-06-11,2019-06-11
087653,2020-01-08,2020-01-27
087653,2020-05-14,2020-05-18
087653,2020-05-20,2020-08-04
087653,2020-11-12,2020-11-12
087653,2020-11-17,2021-01-06
087727,2020-05-20,2020-05-22
087727,2020-07-29,2020-08-10
087732,2018-01-01,2018-01-19
087732,2018-01-23,2018-02-02
087732,2018-11-02,2018-11-02
087732,2018-12-07,2018-12-07
087732,2018-12-28,2019-01-01
087732,2019-04-25,2019-04-25
087732,2019-07-05,2019-07-05
087732,2019-10-18,2019-10-18
087732,2020-02-04,2020-03-18
087732,2020-06-09,2020-08-12
087732,2020-08-17,2020-08-17
087732,2020-09-15,2020-09-15
087732,2020-09-21,2020-09-21
087732,2020-12-02,2020-12-07
087732,2021-01-05,2021-01-05
087737,2018-05-23,2018-06-29
087743,2018-01-01,2018-01-01
087743,2018-01-09,2018-01-25
087779,2020-01-06,2020-05-07
087896,2019-03-22,2019-03-25
087896,2019-07-01,2019-08-29
087896,2019-10-01,2019-10-02
087896,2019-10-07,2019-10-07
087896,2019-11-19,2019-11-20
087896,2020-06-12,2020-06-15
087932,2019-04-16,2019-04-25
087932,2020-03-17,2020-04-06
087961,2019-07-24,2019-08-07
087961,2019-08-19,2019-08-19
087961,2019-10-21,2019-11-18
087969,2020-10-23,2021-01-06
088029,2018-01-01,2018-09-21
088052,2018-12-17,2019-01-03
088052,2019-08-16,2019-11-01
088052,2019-11-18,2020-03-06
088086,2019-10-04,2019-10-04
088086,2020-04-15,2020-05-01
088086,2020-06-24,2020-07-20
088130,2020-09-23,2020-09-24
088151,2018-01-04,2018-01-05
088151,2018-01-11,2018-01-11
088151,2018-02-02,2018-02-13
088151,2018-12-31,2019-01-25
088151,2019-03-25,2019-04-01
088151,2020-05-25,2020-06-10
088151,2020-07-30,2020-07-30
088151,2020-09-22,2020-10-01
088151,2020-10-06,2020-12-07
088189,2018-01-11,2018-01-12
088189,2018-01-19,2018-01-24
088189,2018-05-07,2018-05-08
088189,2018-08-08,2018-08-17
088189,2018-08-27,2018-08-30
088189,2018-09-03,2018-09-04
088189,2018-09-10,2018-09-18
088189,2018-10-02,2018-10-04
088189,2018-10-15,2018-10-16
088189,2019-06-17,2019-08-29
088189,2019-09-26,2019-10-01
088189,2019-10-04,2019-10-07
088189,2019-10-18,2019-10-21
088191,2019-04-03,2019-06-14
088196,2018-01-01,2018-02-22
088196,2018-02-26,2018-03-23
088219,2020-04-15,2020-04-24
088231,2018-01-01,2018-01-19
088231,2018-05-24,2018-05-24
088231,2018-06-21,2018-06-21
088231,2018-08-07,2018-08-07
088231,2018-08-30,2018-08-30
088231,2018-11-21,2018-11-21
088231,2018-11-29,2019-01-01
088231,2019-01-08,2019-01-08
088231,2019-01-10,2019-03-22
088231,2019-11-13,2019-12-20
088231,2020-01-01,2020-02-07
088231,2020-07-03,2020-08-28
088231,2020-09-02,2020-09-02
088231,2020-12-01,2020-12-02
088235,2020-07-23,2020-10-27
088243,2018-07-12,2018-09-21
088243,2019-03-12,2019-03-15
088261,2018-03-13,2018-03-13
088261,2018-03-27,2018-04-13
088261,2018-05-03,2018-05-03
088261,2018-06-06,2018-06-08
088261,2018-07-02,2018-07-09
088261,2019-05-08,2019-05-08
088261,2019-05-10,2019-05-14
088261,2019-05-20,2019-05-27
088261,2020-04-07,2020-04-08
088261,2020-06-25,2020-06-29
088288,2019-03-29,2019-04-05
088297,2019-03-13,2019-03-29
088297,2020-06-30,2020-08-20
088297,2020-09-09,2020-09-09
088324,2018-04-06,2018-05-02
088324,2018-05-14,2018-05-18
088324,2019-03-25,2020-02-18
088324,2020-02-21,2020-08-20
088324,2020-08-31,2020-10-06
088324,2020-12-16,2021-01-06
088346,2018-01-04,2018-01-09
088346,2019-08-07,2019-08-09
088346,2019-09-17,2019-10-04
088346,2019-12-02,2019-12-02
088346,2019-12-04,2019-12-04
088346,2019-12-10,2020-01-15
088346,2020-04-02,2020-04-03
088384,2018-09-04,2018-09-07
088392,2019-05-24,2019-09-06
088438,2018-09-26,2018-10-17
088438,2018-10-19,2019-01-04
088438,2019-03-13,2019-03-13
088438,2019-04-25,2019-07-17
088438,2020-03-18,2020-05-01
088445,2018-10-12,2018-10-12
088445,2018-10-16,2018-10-16
088467,2018-01-01,2018-03-15
088467,2020-12-18,2021-01-06
088520,2018-05-08,2018-05-11
088520,2018-07-03,2018-07-12
088520,2018-07-17,2018-07-18
088520,2018-07-24,2018-07-24
088520,2018-09-11,2018-09-17
088520,2019-05-21,2019-07-04
088520,2019-07-31,2019-08-09
088520,2019-09-23,2019-09-23
088520,2020-01-01,2020-02-07
088520,2020-09-22,2021-01-06
088565,2018-12-06,2018-12-19
088565,2019-06-14,2019-06-18
088565,2019-09-05,2019-09-05
088565,2019-09-09,2019-09-20
088565,2019-10-08,2019-10-22
088565,2019-11-19,2019-12-16
088565,2020-01-09,2020-01-09
088565,2020-01-13,2020-01-13
088565,2020-03-18,2020-04-02
088565,2020-04-07,2020-04-15
088565,2020-05-27,2020-06-18
088592,2019-06-12,2019-06-12
088592,2019-07-16,2019-09-18
088592,2019-09-23,2019-10-09
088672,2018-01-24,2018-01-24
088672,2018-01-26,2018-03-21
088672,2018-04-05,2018-04-05
088672,2018-12-07,2018-12-07
088677,2019-02-15,2019-02-19
088677,2019-04-02,2019-04-12
088677,2019-05-10,2019-05-15
088677,2020-01-01,2020-01-03
088677,2020-01-16,2020-02-07
088687,2018-10-23,2018-10-23
088687,2018-11-28,2019-01-10
088687,2019-02-19,2019-02-19
088687,2019-03-04,2019-03-04
088687,2019-03-27,2019-10-07
088687,2019-10-10,2019-10-28
088687,2019-10-31,2020-11-27
088696,2018-03-06,2018-03-14
088696,2018-07-05,2018-09-21
088696,2019-01-11,2019-02-22
088696,2019-07-03,2019-07-05
088705,2018-04-10,2018-05-31
088705,2018-09-17,2019-01-10
088714,2018-07-31,2018-07-31
088714,2018-08-03,2018-08-13
088714,2018-11-06,2018-11-15
088714,2018-12-31,2019-01-25
088714,2019-07-29,2019-08-09
088714,2020-04-15,2020-04-15
088737,2018-12-07,2018-12-07
088778,2019-07-18,2019-07-26
088798,2019-09-03,2019-09-17
088798,2020-03-17,2020-03-26
088798,2020-04-03,2020-04-07
088798,2020-06-03,2020-06-09
088798,2020-06-12,2020-06-26
088817,2020-02-04,2020-02-07
088834,2018-02-07,2018-02-07
088834,2018-04-18,2019-01-10
088844,2018-08-08,2019-01-04
088850,2018-02-26,2018-03-09
088882,2018-04-23,2018-07-18
088882,2018-07-25,2018-07-25
088882,2018-08-15,2019-05-06
088882,2019-05-15,2019-10-07
088896,2018-01-01,2018-02-23
088905,2021-01-06,2021-01-06
088909,2018-04-04,2018-04-06
088909,2019-09-23,2019-09-23
088909,2020-05-27,2020-05-27
088909,2020-06-01,2020-06-01
088909,2020-12-01,2021-01-06
088917,2018-03-21,2018-03-23
088917,2018-05-01,2018-05-01
088917,2018-05-24,2018-05-24
088961,2020-11-27,2020-11-30
088975,2018-12-20,2020-03-11
089009,2019-03-13,2019-11-13
089009,2020-12-04,2020-12-07
089015,2018-01-03,2018-01-08
089015,2018-01-18,2018-01-18
089015,2018-01-22,2018-01-24
089015,2018-02-07,2018-02-12
089015,2018-04-10,2018-05-29
089015,2018-05-31,2018-06-18
089015,2018-06-20,2018-06-20
089015,2018-07-20,2018-12-28
089058,2019-03-08,2019-03-08
089058,2019-04-22,2019-05-03
089058,2020-06-12,2020-06-12
089058,2020-09-08,2021-01-06
089079,2018-10-26,2018-10-26
089079,2019-02-20,2019-02-21
089079,2019-03-21,2019-03-26
089079,2019-04-02,2019-04-12
089079,2019-04-17,2019-04-17
089079,2019-05-13,2019-05-31
089079,2019-12-04,2019-12-06
089079,2020-01-09,2020-01-13
089079,2020-01-29,2020-01-30
089089,2020-05-01,2020-05-11
089152,2018-01-16,2018-01-16
089152,2018-01-18,2018-02-13
089152,2020-03-17,2020-03-17
089152,2020-03-20,2020-03-20
089224,2018-09-21,2018-09-21
089224,2018-10-04,2018-10-15
089224,2019-04-15,2019-04-17
089224,2019-04-24,2019-05-06
089224,2019-05-09,2019-05-20
089224,2019-11-29,2019-12-13
089224,2020-11-02,2021-01-06
089227,2018-09-18,2019-12-27
089236,2018-09-18,2018-09-20
089236,2019-11-29,2019-12-27
089240,2019-06-13,2020-07-21
089266,2020-03-11,2020-03-13
089266,2020-03-23,2020-03-24
089266,2020-06-15,2020-07-22
089355,2018-07-03,2018-08-17
089355,2018-09-11,2018-09-21
089355,2018-09-25,2018-10-19
089355,2019-03-13,2019-04-02
089355,2019-04-17,2019-04-17
089355,2019-05-23,2019-05-24
089355,2019-06-14,2019-06-17
089355,2020-02-06,2020-02-07
089355,2020-03-27,2020-04-30
089355,2020-08-11,2020-08-13
089355,2020-09-29,2020-09-29
089355,2020-10-01,2020-10-15
089355,2020-10-29,2020-10-29
089355,2020-12-15,2021-01-06
089356,2018-12-10,2018-12-14
089358,2018-04-09,2018-04-17
089358,2018-07-03,2018-08-14
089358,2018-08-16,2018-08-17
089358,2018-08-21,2018-11-07
089358,2018-11-22,2018-11-22
089358,2019-06-17,2019-06-18
089358,2019-09-18,2019-09-20
089358,2019-11-06,2019-11-07
089358,2020-02-18,2020-03-19
089358,2020-03-25,2020-03-25
089358,2020-03-27,2020-04-15
089358,2020-06-04,2020-06-26
089358,2020-08-11,2020-08-31
089358,2020-09-29,2021-01-06
089513,2019-01-29,2019-05-13
089513,2019-07-15,2020-03-23
089610,2020-07-15,2020-07-16
089685,2018-01-03,2018-01-08
089685,2018-11-20,2018-12-28
089692,2020-10-14,2020-11-06
089692,2020-11-10,2020-12-21
089695,2018-07-13,2018-07-13
089695,2020-04-03,2020-04-06
089695,2020-09-25,2020-09-25
089801,2020-05-13,2020-05-13
089868,2018-12-18,2018-12-20
089868,2018-12-27,2018-12-27
089868,2019-05-21,2019-05-24
089868,2020-04-03,2020-05-15
089905,2020-10-06,2020-10-06
090030,2018-03-15,2018-03-16
090030,2018-04-13,2018-04-13
090030,2018-04-17,2018-04-20
090030,2018-04-24,2018-04-30
090030,2018-07-05,2018-07-13
090030,2018-08-28,2018-08-28
090030,2018-08-30,2018-08-30
090030,2018-09-04,2018-09-05
090030,2018-09-07,2018-09-07
090030,2018-09-11,2018-09-14
090030,2018-09-20,2018-09-20
090030,2018-10-02,2018-10-02
090030,2018-10-04,2018-10-04
090030,2018-10-12,2018-10-16
090030,2018-10-18,2018-11-29
090030,2019-06-17,2019-06-18
090030,2019-08-12,2019-08-12
090030,2019-09-10,2019-12-17
090030,2020-03-27,2020-04-14
090030,2020-04-20,2020-09-09
090146,2018-01-01,2018-01-12
090146,2020-06-25,2020-07-01
090151,2019-03-05,2019-05-16
090151,2020-06-10,2020-06-12
090153,2018-02-27,2018-04-23
090153,2019-09-09,2019-09-10
090153,2019-09-23,2019-09-24
090153,2019-10-04,2019-10-18
090156,2018-04-11,2018-04-17
090156,2018-05-14,2018-05-18
090156,2018-12-14,2018-12-14
090156,2018-12-31,2019-01-07
090156,2019-01-10,2019-01-23
090156,2019-09-04,2021-01-06
090166,2018-11-08,2019-01-03
090166,2019-05-24,2019-07-03
090166,2019-07-16,2019-08-08
090166,2019-08-15,2019-09-04
090166,2019-10-02,2019-10-22
090166,2019-10-31,2019-10-31
090166,2019-11-06,2019-12-27
090205,2018-02-21,2018-03-28
090205,2018-04-09,2018-04-09
090205,2018-08-09,2018-08-09
090205,2018-08-30,2018-09-18
090205,2018-09-27,2018-10-01
090205,2018-10-23,2018-10-23
090205,2018-10-31,2018-11-02
090205,2019-01-17,2019-05-28
090205,2019-07-01,2019-07-08
090205,2020-01-03,2020-01-03
090205,2020-02-26,2020-02-26
090205,2020-03-03,2020-03-19
090205,2020-05-27,2020-05-27
090205,2020-06-01,2020-06-01
090205,2020-06-10,2020-06-10
090205,2020-06-29,2020-07-03
090205,2020-07-08,2020-07-08
090205,2020-07-13,2020-12-02
090206,2020-06-23,2020-07-10
090210,2018-01-01,2018-01-12
090252,2018-06-25,2018-07-02
090252,2020-04-01,2021-01-06
090263,2018-01-03,2018-01-12
090263,2020-04-03,2021-01-06
090280,2018-05-09,2018-05-21
090280,2018-06-18,2018-06-18
090280,2018-06-20,2018-06-20
090280,2018-07-02,2018-07-02
090280,2018-07-12,2018-07-12
090280,2018-07-16,2018-07-16
090280,2018-07-30,2018-09-26
090280,2018-10-25,2018-10-25
090280,2018-10-31,2019-03-20
090280,2019-09-23,2019-09-24
090280,2019-09-27,2019-09-30
090280,2020-06-17,2020-06-18
090309,2020-01-28,2020-02-05
090328,2019-09-30,2019-10-04
090435,2018-03-07,2018-03-08
090455,2018-08-07,2018-08-07
090455,2018-08-13,2018-08-13
090455,2018-08-27,2018-08-30
090455,2019-01-25,2019-01-25
090455,2019-02-13,2019-02-14
090455,2019-02-28,2019-02-28
090455,2019-07-16,2019-07-23
090455,2019-07-30,2019-08-05
090455,2020-01-06,2020-01-16
090570,2018-01-03,2018-01-05
090570,2018-10-19,2018-10-23
090570,2018-12-12,2018-12-13
090570,2019-01-18,2019-01-23
090570,2019-03-04,2019-04-17
090570,2020-01-03,2020-01-03
090570,2020-03-09,2020-03-09
090570,2020-03-11,2020-03-12
090570,2020-03-16,2020-03-16
090612,2019-02-25,2019-02-25
090612,2019-07-04,2019-07-30
090612,2019-10-21,2019-10-21
090623,2018-06-27,2019-02-08
090626,2018-07-09,2018-07-10
090626,2018-07-17,2018-07-31
090626,2018-08-02,2018-08-03
090626,2018-09-25,2018-09-25
090626,2018-10-03,2018-12-28
090634,2019-01-21,2019-02-08
090635,2019-08-12,2019-08-12
090635,2020-06-09,2020-06-09
090645,2018-10-11,2019-01-25
090645,2019-09-03,2019-09-20
090701,2019-11-14,2019-11-15
090701,2019-11-21,2019-11-21
090701,2019-11-25,2019-11-25
090701,2019-11-27,2019-12-27
090701,2020-01-03,2020-01-03
090701,2020-01-23,2020-01-29
090701,2020-10-06,2020-10-06
090701,2020-10-13,2020-10-16
090701,2020-10-29,2020-10-30
090762,2018-08-06,2018-08-07
090762,2018-10-12,2018-10-23
090762,2018-11-21,2018-12-14
090762,2019-01-15,2019-02-05
090762,2019-04-17,2019-04-17
090762,2019-05-23,2019-05-23
090762,2019-09-03,2019-09-03
090762,2020-03-20,2020-03-20
090762,2020-03-25,2020-03-25
090762,2020-05-04,2020-05-04
090762,2020-11-04,2021-01-06
090810,2018-10-09,2018-10-10
090810,2018-10-12,2018-10-23
090810,2019-02-22,2019-02-22
090810,2020-06-23,2020-07-07
090810,2020-12-01,2020-12-10
090810,2020-12-23,2021-01-06
090846,2018-07-16,2018-07-17
090846,2019-02-05,2019-09-18
090846,2020-07-01,2020-07-01
090846,2020-07-03,2020-11-30
090904,2018-01-01,2018-05-18
090904,2020-06-16,2020-07-10
090904,2020-07-14,2020-08-17
090904,2020-10-19,2020-10-22
090979,2019-05-29,2019-08-05
090979,2019-10-29,2020-01-17
090997,2019-08-06,2019-11-29
091015,2019-09-23,2019-09-23
091015,2019-11-11,2019-11-11
091034,2018-04-05,2018-04-06
091034,2018-04-10,2018-04-17
091034,2019-01-04,2019-01-07
091034,2019-10-01,2019-10-04
091034,2020-09-10,2020-10-02
091071,2019-03-01,2019-03-13
091071,2019-07-17,2019-08-09
091071,2019-10-11,2019-10-11
091071,2019-10-21,2019-10-29
091071,2020-12-09,2021-01-06
091096,2018-03-08,2018-03-08
091096,2018-04-09,2018-04-17
091096,2018-05-07,2018-05-08
091096,2018-05-24,2018-07-27
091175,2019-08-13,2019-08-14
091175,2019-08-21,2019-12-17
091175,2020-03-11,2020-04-03
091175,2020-05-20,2020-12-21
091219,2018-05-18,2018-06-06
091219,2019-07-15,2019-08-09
091244,2018-10-12,2018-10-15
091244,2018-12-10,2018-12-10
091244,2020-03-20,2020-03-24
091244,2020-07-15,2020-07-21
091280,2020-06-30,2020-07-16
091308,2018-02-27,2018-06-29
091345,2020-06-11,2020-06-11
091345,2020-06-15,2020-08-14
091345,2020-09-08,2020-09-08
091358,2018-03-12,2018-04-17
091404,2018-04-04,2018-04-06
091404,2018-06-13,2018-06-13
091404,2018-06-22,2018-06-22
091404,2018-07-04,2018-07-06
091404,2018-07-10,2018-07-18
091404,2018-07-31,2018-07-31
091404,2018-09-27,2018-10-08
091404,2018-10-17,2018-10-19
091404,2018-10-26,2018-10-26
091404,2019-01-14,2019-01-25
091493,2018-04-04,2018-04-06
091493,2018-04-10,2018-04-13
091493,2018-04-17,2018-04-18
091493,2018-04-25,2018-05-01
091544,2018-03-14,2018-03-16
091544,2018-04-09,2018-04-11
091544,2018-05-04,2018-05-07
091544,2018-06-26,2018-06-26
091544,2018-09-17,2018-09-17
091544,2018-10-16,2018-10-16
091544,2018-12-27,2018-12-27
091544,2019-04-09,2019-04-10
091544,2019-11-05,2019-11-05
091544,2020-04-21,2020-04-29
091545,2018-01-01,2018-01-12
091553,2019-06-18,2019-06-18
091616,2018-01-01,2018-03-08
091616,2018-03-20,2018-04-16
091616,2018-06-04,2018-06-15
091616,2018-06-25,2018-07-03
091616,2018-07-12,2018-08-23
091616,2018-09-03,2018-10-30
091616,2018-11-20,2018-12-04
091616,2018-12-18,2019-01-10
091616,2019-01-18,2019-01-31
091616,2019-02-14,2019-05-15
091616,2019-05-20,2019-05-20
091616,2019-05-23,2019-05-29
091616,2019-06-04,2019-06-06
091616,2020-04-27,2020-04-30
091616,2020-05-06,2020-05-14
091616,2020-05-20,2020-07-17
091650,2018-01-01,2018-01-08
091650,2018-02-27,2018-03-26
091650,2018-05-01,2018-05-01
091650,2018-07-31,2018-08-10
091650,2018-08-14,2018-08-23
091650,2018-08-31,2018-09-21
091650,2019-08-26,2019-08-30
091650,2019-09-05,2019-09-05
091747,2018-09-25,2018-09-25
091747,2018-10-15,2018-10-15
091747,2018-12-18,2018-12-28
091747,2019-06-04,2019-06-14
091751,2019-08-08,2019-08-08
091751,2019-09-09,2019-09-09
091751,2019-09-23,2019-09-23
091766,2018-01-01,2018-01-01
091766,2018-01-09,2018-02-06
091766,2018-02-13,2018-02-13
091766,2018-03-12,2018-03-12
091766,2018-03-16,2018-03-23
091766,2019-09-23,2019-10-07
091766,2019-10-14,2019-10-18
091766,2020-02-10,2020-03-06
091769,2020-10-02,2020-10-05
091833,2018-01-19,2018-02-09
091833,2018-05-04,2018-06-15
091833,2020-01-24,2020-01-24
091833,2020-01-29,2020-01-30
091833,2020-05-19,2020-06-26
091833,2020-11-23,2020-11-23
091842,2018-01-17,2018-01-17
091842,2018-02-23,2018-03-09
091842,2018-12-17,2018-12-18
091842,2019-01-22,2019-01-22
091842,2020-03-05,2020-03-10
091842,2020-06-03,2020-06-26
091842,2020-11-02,2021-01-06
091860,2018-02-13,2018-02-23
091860,2020-05-06,2020-06-26
091860,2020-11-02,2021-01-06
091878,2018-02-14,2018-02-23
091878,2018-04-10,2018-05-04
091878,2018-12-18,2018-12-20
091878,2019-03-20,2019-04-11
091878,2020-05-18,2020-06-26
091931,2018-03-13,2018-03-14
091931,2018-03-16,2018-03-26
091931,2018-04-09,2018-04-17
091931,2018-05-02,2018-05-02
091931,2018-05-08,2018-06-14
091931,2018-06-18,2018-06-22
091931,2018-06-27,2018-06-28
091931,2018-07-13,2018-08-10
091931,2018-09-07,2018-09-21
091931,2018-10-08,2018-10-10
091931,2018-10-12,2018-10-15
091931,2018-10-22,2018-10-22
091931,2019-02-01,2019-02-26
091931,2019-06-04,2019-06-12
091931,2019-07-01,2019-07-08
091931,2019-07-29,2019-08-26
091952,2020-10-06,2020-10-07
091952,2020-12-04,2020-12-04
092005,2019-01-03,2019-01-07
092005,2019-09-09,2019-09-09
092005,2019-09-16,2019-09-16
092005,2020-04-07,2020-04-15
092021,2018-04-11,2018-04-13
092021,2018-04-25,2018-04-30
092021,2018-05-11,2018-05-18
092021,2018-06-11,2018-06-14
092021,2019-04-22,2019-05-03
092021,2019-05-21,2019-07-05
092021,2019-07-09,2019-08-22
092021,2019-09-16,2019-09-17
092021,2019-09-24,2019-09-24
092021,2020-04-03,2020-04-03
092021,2020-05-04,2020-05-04
092021,2020-05-11,2020-05-20
092021,2020-05-26,2020-07-30
092052,2019-07-23,2019-08-09
092055,2018-05-25,2018-05-29
092055,2018-11-29,2018-11-29
092055,2019-06-17,2019-08-02
092055,2019-08-09,2019-09-05
092055,2020-06-11,2020-07-16
092055,2020-12-01,2020-12-01
092078,2018-10-09,2018-10-12
092078,2018-10-16,2018-10-16
092087,2018-04-11,2018-04-11
092087,2018-08-29,2018-08-29
092087,2018-11-26,2018-11-30
092087,2018-12-27,2018-12-27
092087,2019-07-17,2019-07-17
092087,2020-04-08,2020-04-14
092097,2018-04-04,2018-04-17
092097,2018-05-01,2018-05-02
092097,2018-05-11,2018-05-16
092097,2018-05-23,2018-05-25
092097,2018-05-29,2018-05-29
092097,2018-06-04,2018-06-06
092097,2018-06-08,2018-06-08
092097,2018-07-16,2018-07-16
092097,2018-09-19,2018-09-19
092097,2018-10-04,2018-10-05
092097,2018-10-16,2018-10-16
092097,2020-10-05,2020-10-06
092097,2020-10-09,2020-10-09
092097,2020-10-20,2020-10-26
092097,2020-12-01,2020-12-09
092097,2020-12-14,2020-12-21
092172,2018-07-02,2018-07-02
092176,2019-05-22,2019-06-03
092188,2019-05-14,2019-05-15
092188,2019-05-21,2019-05-22
092188,2020-12-09,2020-12-14
092188,2020-12-17,2021-01-06
092199,2020-07-06,2020-07-10
092234,2020-03-09,2020-04-15
092321,2019-11-22,2019-11-22
092321,2019-12-04,2019-12-04
092321,2020-01-21,2020-02-07
092321,2020-02-11,2020-05-15
092321,2020-10-02,2020-10-02
092373,2018-01-01,2018-01-01
092373,2018-01-04,2018-01-26
092373,2020-06-22,2020-06-22
092373,2020-07-08,2020-08-17
092373,2020-10-19,2020-10-23
092392,2018-07-06,2018-07-06
092392,2018-07-10,2018-07-10
092392,2018-10-08,2018-11-16
092392,2018-12-11,2019-01-10
092392,2019-07-22,2019-07-22
092392,2019-07-29,2019-09-23
092392,2019-10-07,2019-10-07
092392,2019-11-04,2019-11-04
092392,2019-11-07,2019-11-12
092392,2019-11-14,2019-11-18
092392,2020-11-19,2020-12-10
092404,2019-11-29,2019-11-29
092404,2019-12-09,2020-01-03
092404,2020-10-07,2020-10-07
092404,2020-11-03,2021-01-06
092416,2018-11-05,2018-11-21
092416,2018-12-20,2019-01-08
092416,2020-03-26,2020-04-03
092416,2020-05-18,2020-05-25
092416,2020-06-16,2020-06-16
092416,2020-06-18,2020-07-16
092416,2020-12-01,2020-12-01
092416,2020-12-10,2020-12-21
092438,2018-03-09,2018-04-17
092438,2020-01-27,2020-02-07
092491,2018-01-15,2018-01-26
092491,2018-02-08,2018-02-08
092491,2018-11-05,2018-11-05
092491,2019-06-04,2019-06-14
092491,2020-10-30,2020-10-30
092517,2019-07-02,2019-07-12
092582,2020-11-02,2020-11-02
092582,2020-11-09,2020-11-09
092582,2020-11-25,2020-12-07
092591,2018-03-02,2020-02-18
092591,2020-02-21,2020-08-20
092591,2020-08-31,2021-01-06
092605,2018-01-01,2018-01-12
092616,2018-04-25,2018-04-25
092616,2018-04-30,2018-05-07
092616,2018-05-11,2018-05-11
092616,2018-05-15,2018-06-06
092616,2018-07-03,2018-07-16
